,Fecha
0,2012-01-01
1,2012-09-01
2,2012-03-19
3,2012-01-04
4,2012-05-04
5,2012-06-04
6,2012-08-04
7,2012-01-05
8,2012-05-21
9,2012-11-06
10,2012-06-18
11,2012-02-07
12,2012-07-20
13,2012-07-08
14,2012-08-20
15,2012-10-15
16,2012-05-11
17,2012-12-11
18,2012-08-12
19,2012-12-25
20,2013-01-01
21,2013-07-01
22,2013-03-24
23,2013-03-25
24,2013-03-28
25,2013-03-29
26,2013-03-31
27,2013-01-05
28,2013-05-13
29,2013-03-06
30,2013-10-06
31,2013-01-07
32,2013-07-20
33,2013-07-08
34,2013-08-19
35,2013-10-14
36,2013-04-11
37,2013-11-11
38,2013-08-12
39,2013-12-25
40,2014-01-01
41,2014-06-01
42,2014-03-24
43,2014-04-17
44,2014-04-18
45,2014-01-05
46,2014-02-06
47,2014-06-23
48,2014-06-30
49,2014-06-30
50,2014-07-20
51,2014-07-08
52,2014-08-18
53,2014-10-13
54,2014-03-11
55,2014-11-17
56,2014-08-12
57,2014-12-25
58,2015-01-01
59,2015-12-01
60,2015-03-23
61,2015-02-04
62,2015-03-04
63,2015-01-05
64,2015-05-18
65,2015-08-06
66,2015-06-15
67,2015-06-29
68,2015-07-20
69,2015-07-08
70,2015-08-17
71,2015-12-10
72,2015-02-11
73,2015-11-16
74,2015-08-12
75,2015-12-25
76,2016-01-01
77,2016-11-01
78,2016-03-21
79,2016-03-24
80,2016-03-25
81,2016-01-05
82,2016-09-05
83,2016-05-30
84,2016-06-06
85,2016-04-07
86,2016-07-20
87,2016-07-08
88,2016-08-15
89,2016-10-17
90,2016-07-11
91,2016-11-14
92,2016-08-12
93,2016-12-25
94,2017-01-01
95,2017-09-01
96,2017-03-20
97,2017-04-13
98,2017-04-14
99,2017-01-05
100,2017-05-29
101,2017-06-19
102,2017-06-26
103,2017-03-07
104,2017-07-20
105,2017-07-08
106,2017-08-21
107,2017-10-16
108,2017-06-11
109,2017-11-13
110,2017-08-12
111,2017-12-25
112,2018-01-01
113,2018-08-01
114,2018-03-19
115,2018-03-29
116,2018-03-30
117,2018-01-05
118,2018-05-14
119,2018-04-06
120,2018-11-06
121,2018-02-07
122,2018-07-20
123,2018-07-08
124,2018-08-20
125,2018-10-15
126,2018-05-11
127,2018-12-11
128,2018-08-12
129,2018-12-25
130,2019-01-01
131,2019-07-01
132,2019-03-25
133,2019-04-18
134,2019-04-19
135,2019-01-05
136,2019-03-06
137,2019-06-24
138,2019-01-07
139,2019-01-07
140,2019-07-20
141,2019-07-08
142,2019-08-19
143,2019-10-14
144,2019-04-11
145,2019-11-11
146,2019-08-12
147,2019-12-25
148,2020-01-01
149,2020-06-01
150,2020-03-23
151,2020-09-04
152,2020-10-04
153,2020-01-05
154,2020-05-25
155,2020-06-15
156,2020-06-22
157,2020-06-29
158,2020-07-20
159,2020-07-08
160,2020-08-17
161,2020-12-10
162,2020-02-11
163,2020-11-16
164,2020-08-12
165,2020-12-25
166,2021-01-01
167,2021-11-01
168,2021-03-22
169,2021-03-28
170,2021-01-04
171,2021-02-04
172,2021-04-04
173,2021-01-05
174,2021-05-17
175,2021-07-06
176,2021-06-14
177,2021-05-07
178,2021-07-20
179,2021-07-08
180,2021-08-16
181,2021-10-18
182,2021-01-11
183,2021-11-15
184,2021-08-12
185,2021-12-25
186,2022-01-01
187,2022-10-01
188,2022-03-21
189,2022-04-14
190,2022-04-15
191,2022-01-05
192,2022-05-30
193,2022-06-20
194,2022-06-27
195,2022-04-07
196,2022-07-20
197,2022-07-08
198,2022-08-15
199,2022-10-17
200,2022-07-11
201,2022-11-14
202,2022-08-12
203,2022-12-25
204,2023-01-01
205,2023-09-01
206,2023-03-20
207,2023-06-04
208,2023-07-04
209,2023-01-05
210,2023-05-22
211,2023-12-06
212,2023-06-19
213,2023-03-07
214,2023-07-20
215,2023-07-08
216,2023-08-21
217,2023-10-16
218,2023-06-11
219,2023-11-13
220,2023-08-12
221,2023-12-25
222,2024-01-01
223,2024-08-01
224,2024-03-25
225,2024-03-28
226,2024-03-29
227,2024-01-05
228,2024-05-13
229,2024-03-06
230,2024-10-06
231,2024-01-07
232,2024-07-20
233,2024-07-08
234,2024-08-19
235,2024-10-14
236,2024-04-11
237,2024-11-11
238,2024-08-12
239,2024-12-25
240,2025-01-01
241,2025-06-01
242,2025-03-24
243,2025-04-17
244,2025-04-18
245,2025-01-05
246,2025-02-06
247,2025-06-23
248,2025-06-30
249,2025-07-20
250,2025-07-08
251,2025-08-18
252,2025-08-19
253,2025-10-13
254,2025-03-11
255,2025-11-17
256,2025-08-12
257,2025-12-25
258,2012-08-01
259,2012-01-15
260,2012-01-22
261,2012-01-29
262,2012-05-02
263,2012-12-02
264,2012-02-19
265,2012-02-26
266,2012-04-03
267,2012-11-03
268,2012-03-18
269,2012-03-25
270,2012-04-15
271,2012-04-22
272,2012-04-29
273,2012-06-05
274,2012-05-13
275,2012-05-20
276,2012-05-27
277,2012-03-06
278,2012-10-06
279,2012-06-17
280,2012-06-24
281,2012-01-07
282,2012-08-07
283,2012-07-15
284,2012-07-22
285,2012-07-29
286,2012-05-08
287,2012-12-08
288,2012-08-19
289,2012-08-26
290,2012-02-09
291,2012-09-09
292,2012-09-16
293,2012-09-23
294,2012-09-30
295,2012-07-10
296,2012-10-14
297,2012-10-21
298,2012-10-28
299,2012-04-11
300,2012-11-11
301,2012-11-18
302,2012-11-25
303,2012-02-12
304,2012-09-12
305,2012-12-16
306,2012-12-23
